Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit,Antal karakterer
Dybbøl-Skolen (Sønderborg),3.70062096031746,3.69307433928573,3.80550033200795,4.04248951093439,3.16882041948311,7.74582589333334,1275
Dybkærskolen (Silkeborg),3.59629231948052,3.59315597922079,3.79177489090909,3.86873015844156,3.09505877402597,7.29943998115298,902
Dybvad skoleafdeling (Frederikshavn),3.58820477777778,3.5201057,3.70555555555556,3.88037036666666,3.17857142222222,7.01369645519714,279
Dyssegården (Fredensborg),3.8922415,3.502232125,4.25,4.121875,3.78214275,,
Dyssegårdsskolen (Gentofte),3.6192477989418,3.68007861538463,3.60466139050132,4.00735281216932,3.00762782804233,8.37057204666056,1093
Dyvekeskolen (København),3.74176262406015,3.74428349242425,3.77944862406015,4.09455889138577,3.21663967924528,5.50095376717558,262
Ebberup Skole (Assens),3.63357437414966,3.58049872789115,3.6734693877551,3.96768707482993,3.18892130612245,6.99376111899313,437
Ebeltoft Skole (Syddjurs),3.48740490361446,3.54074222891566,3.52091768016194,3.87173295983936,2.87357909677419,7.34486563722826,736
Egebakken (Aalborg),3.78356619230769,3.63356223076923,3.98397434615385,4.16288157692308,3.32619042307692,,
Egebjerg Skole (Odsherred),3.67101557142857,3.54761890476191,3.53571428571429,3.90132276190476,3.56122447619048,,
Egebjergskolen (Horsens),3.44919963661972,3.42221541408451,3.54272899150142,3.81907918750001,2.90789577777778,7.06386250934579,642
Egebæk-Hviding Skole Vadehav (Esbjerg),3.44452237209302,3.34520105813954,3.51259689534884,3.86676356976744,2.90672761627907,,
Egekratskolen Fortuna (Esbjerg),3.62489338709677,3.44182012903226,3.61290322580645,3.98557348387097,3.29116738709678,,
Egelundskolen (Albertslund),3.56330867772512,3.63455756872038,3.58174602857143,3.87291996208531,3.0160970430622,6.85896073487031,694
Egholmskolen (Vallensbæk),3.5799787811245,3.5932928476954,3.77878179317269,3.820786506,3.1049487303823,7.20246072954763,1039
Egtved Skole (Vejle),3.58914692436975,3.56798984745763,3.7902661092437,3.93592437394958,3.01861743697479,7.04784323396226,530
Ejby Skole (Køge),3.646720845,3.67812908955224,3.683749995,3.96832109950249,3.134392855,7.02823878197674,688
Ejby Skole (Middelfart),3.54518217672414,3.53025784913793,3.70743145454545,3.88531231896552,2.97703265502184,6.59232220116618,686
Ejer Bavnehøjskolen (Skanderborg),3.90549367647059,3.76348020588235,3.97794117647059,4.32712417647059,3.41932773529412,,
Ejerslykkeskolen (Odense),3.59576916299559,3.65102459111112,3.69874631415929,3.83773497368421,3.12920351769912,6.28021177991746,727
Ejstrupholm Skole (Ikast-Brande),3.35699779710145,3.40238949275362,3.33515815328467,3.77866344202898,2.70686475912409,6.96354318181818,385
